case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,comment,priority,severity,automation,type,tags,step_comments,case_parameter
3,"Create a  New Account For all valid-Savings","New Account",4,"Kaniz Fatema Any",27003,Passed,"2023-01-04 16:16:33","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to new Account
4. Enter Customer Id
5. Enter Account Type
6. Enter Initial Deposit
7. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456, Password:67890
3. N/A
4. 1234567
5. Savings
6. 500
7. N/A
","1. Login page show
2. Dashboard Display
3. New Account Page will Display
4. System Allow input
5. System Allow input
6. System Allow input
7. System Successfully Create a new Account
","1. Passed
2. Passed
3. Passed
4. Passed
5. Untested
6. Passed
7. Passed
",,High,Major,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
4,"Create a  New Account For all valid-Cuurent","New Account",4,"Kaniz Fatema Any",26706,Passed,"2023-01-04 16:25:32","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to new Account
4. Enter Customer Id
5. Enter Account Type
6. Enter Initial Deposit
7. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456, Password:67890
3. N/A
4. 1234567
5. Current
6. 500
7. N/A
","1. Login page show
2. Dashboard Display
3. New Account Page will Display
4. System Allow input
5. System Allow input
6. System Allow input
7. System Successfully Create a new Account
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
7. Passed
",,High,Major,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
5,"Create a  New Account for invalid deposit","New Account",4,"Kaniz Fatema Any",78000,Failed,"2023-01-04 16:27:04","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to new Account
4. Enter Customer Id
5. Enter Account Type
6. Enter Initial Deposit
7. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456, Password:67890
3. N/A
4. 1234567
5. Current
6. 499
7. N/A
","1. Login page show
2. Dashboard Display
3. New Account Page will Display
4. System Allow input
5. System Allow input
6. System Allow input
7. System Shows the error message
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Failed
7. Untested
",,"Not set",Major,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
6,"Create a  New Account for invalid Account Type","New Account",4,"Kaniz Fatema Any",35000,Failed,"2023-01-04 16:27:57","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to new Account
4. Enter Customer Id
5. Keep Account Type Blank
6. Enter Initial Deposit
7. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456, Password:67890
3. N/A
4. 1234567
5. 
6. 501
7. N/A
","1. Login page show
2. Dashboard Display
3. New Account Page will Display
4. System Allow input
5. 
6. System Allow input
7. System Shows the error message foer account
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Failed
7. Untested
",,Medium,Normal,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
7,"Create a  New Account for  invalid Account Type And Deposit","New Account",4,"Kaniz Fatema Any",31000,Failed,"2023-01-04 16:28:46","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to new Account
4. Enter Customer Id
5. Keep Account Type Blank
6. Enter Initial Deposit
7. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456, Password:67890
3. N/A
4. 1234567
5. 
6. 499
7. N/A
","1. Login page show
2. Dashboard Display
3. New Account Page will Display
4. System Allow input
5. 
6. System Allow input
7. System Shows the error message for account type and deposit
","1. Passed
2. Passed
3. Passed
4. Passed
5. Failed
6. Untested
7. Untested
",,Medium,Normal,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
8,"Create a  New Account for  invalid Customer Id","New Account",4,"Kaniz Fatema Any",16000,Failed,"2023-01-04 16:29:24","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to new Account
4. Enter Customer Id
5. Account Type
6. Enter Initial Deposit
7. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456, Password:67890
3. N/A
4. ertyuiop
5. saving
6. 500
7. N/A
","1. Login page show
2. Dashboard Display
3. New Account Page will Display
4. System Allow input
5. 
6. System Allow input
7. System Shows the error message for customer id
","1. Passed
2. Passed
3. Passed
4. Failed
5. Untested
6. Untested
7. Untested
",,Medium,Major,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
9,"Create a  New Account for  invalid Customer Id and Account type","New Account",4,"Kaniz Fatema Any",14000,Failed,"2023-01-04 16:29:53","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to new Account
4. Enter Customer Id
5. Keep Account Type blank
6. Enter Initial Deposit
7. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456, Password:67890
3. N/A
4. ertyuiop
5. 
6. 500
7. N/A
","1. Login page show
2. Dashboard Display
3. New Account Page will Display
4. System Allow input
5. 
6. System Allow input
7. System Shows the error message for customer id and account type
","1. Passed
2. Passed
3. Passed
4. Failed
5. Untested
6. Untested
7. Untested
",,Medium,Normal,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
11,"Create a  New Account for  invalid Customer Id and initial Depost","New Account",4,"Kaniz Fatema Any",13000,Failed,"2023-01-04 16:30:24","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to new Account
4. Enter Customer Id
5. Account Type
6. Enter Initial Deposit
7. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456, Password:67890
3. N/A
4. S@#rtyuioo
5. saving
6. 100
7. N/A
","1. Login page show
2. Dashboard Display
3. New Account Page will Display
4. System Allow input
5. System Allow input
6. System Allow input
7. System Shows the error message for customer id and initial deposit
","1. Passed
2. Passed
3. Passed
4. Failed
5. Untested
6. Untested
7. Untested
",,Medium,Normal,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
12,"Create a  New Account for  all invalid","New Account",4,"Kaniz Fatema Any",15000,Failed,"2023-01-04 16:30:52","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to new Account
4. Enter Customer Id
5. Keep Account Type Blank
6. Initial Deposit Blank
7. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456, Password:67890
3. N/A
4. S@#rtyuioo9087655
5. 
6. 
7. N/A
","1. Login page show
2. Dashboard Display
3. New Account Page will Display
4. System Allow input
5. 
6. 
7. System Shows the error message for customer id and initial deposit and account type
","1. Passed
2. Passed
3. Passed
4. Failed
5. Untested
6. Untested
7. Untested
",,Medium,Normal,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
13,"Create a  New Account For reset","New Account",4,"Kaniz Fatema Any",23726,Passed,"2023-01-04 16:31:30","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to new Account
4. Enter Customer Id
5. Enter Account Type
6. Enter Initial Deposit
7. Click Reset
","1. https://abc-bank.com/login
2. manager ID:123456, Password:67890
3. N/A
4. 1234567
5. Savings
6. 500
7. N/A
","1. Login page show
2. Dashboard Display
3. New Account Page will Display
4. System Allow input
5. System Allow input
6. System Allow input
7. System Successfully clear all data
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
7. Passed
",,High,Major,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
